sunlit times,,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
14:02.0,15:21.7,79.694
12:35.6,16:39.1,243.455
11:45.7,17:20.1,334.458
11:05.9,17:51.0,405.127
10:31.7,18:16.5,464.822
10:01.1,12:37.2,156.071
16:02.3,18:38.4,156.106
09:33.1,11:42.4,129.326
16:48.5,18:57.9,129.362
09:07.2,11:00.9,113.74
17:21.6,19:15.3,113.777
08:42.9,10:25.9,102.965
17:48.3,19:31.3,102.996
08:20.0,09:54.8,94.869
18:11.1,19:46.0,94.904
07:58.2,09:26.6,88.488
18:31.2,19:59.7,88.518
07:37.4,09:00.6,83.272
18:49.2,20:12.5,83.302
07:17.5,08:36.4,78.907
19:05.6,20:24.5,78.931
06:58.3,08:13.5,75.179
19:20.7,20:35.9,75.206
06:39.9,07:51.8,71.946
19:34.7,20:46.6,71.968
06:22.1,07:31.2,69.104
19:47.7,20:56.9,69.128
06:04.9,07:11.5,66.588
20:00.0,21:06.6,66.608
05:48.2,06:52.5,64.333
20:11.6,21:15.9,64.354
05:32.0,06:34.3,62.299
20:22.5,21:24.9,62.317
05:16.3,06:16.7,60.452
20:32.9,21:33.4,60.469
05:00.9,05:59.7,58.768
20:42.8,21:41.6,58.787
04:46.0,05:43.2,57.215
20:52.3,21:49.5,57.236
04:31.4,05:27.2,55.791
21:01.3,21:57.1,55.801
04:17.2,05:11.6,54.473
21:10.0,22:04.5,54.484
04:03.2,04:56.5,53.242
21:18.3,22:11.6,53.256
03:49.6,04:41.7,52.096
21:26.3,22:18.4,52.111
03:36.3,04:27.3,51.025
21:34.0,22:25.0,51.037
03:23.2,04:13.2,50.02
21:41.4,22:31.4,50.032
03:10.4,03:59.5,49.075
21:48.5,22:37.6,49.09
02:57.8,03:46.0,48.184
21:55.5,22:43.7,48.199
02:45.5,03:32.8,47.344
22:02.2,22:49.5,47.357
02:33.4,03:19.9,46.544
22:08.7,22:55.2,46.559
02:21.5,03:07.3,45.786
22:15.0,23:00.8,45.802
02:09.8,02:54.9,45.066
22:21.1,23:06.2,45.08
01:58.4,02:42.8,44.377
22:27.1,23:11.5,44.397
01:47.1,02:30.8,43.727
22:32.9,23:16.6,43.74
01:36.0,02:19.1,43.098
22:38.6,23:21.7,43.118
01:25.1,02:07.6,42.504
22:44.1,23:26.6,42.52
01:14.3,01:56.3,41.935
22:49.4,23:31.4,41.948
01:03.7,01:45.1,41.382
22:54.7,23:36.1,41.399
00:53.3,01:34.1,40.856
22:59.7,23:40.6,40.871
00:42.9,01:23.3,40.351
23:04.7,23:45.0,40.366
00:32.7,01:12.6,39.864
23:09.4,23:49.3,39.882
00:22.7,01:02.1,39.397
23:14.0,23:53.5,39.416
00:12.7,00:51.6,38.946
23:18.5,23:57.5,38.964
00:02.8,00:41.3,38.512
23:22.8,24:01.3,38.531
59:53.0,00:31.1,38.094
23:27.0,24:05.1,38.112
59:43.3,00:21.0,37.692
23:30.9,24:08.7,37.708
59:33.7,00:11.0,37.299
23:34.8,24:12.1,37.322
59:24.2,00:01.1,36.923
23:38.5,24:15.4,36.947
59:14.7,59:51.3,36.558
23:42.1,24:18.6,36.581
59:05.4,59:41.6,36.205
23:45.5,24:21.7,36.228
58:56.1,59:32.0,35.863
23:48.8,24:24.7,35.887
58:46.9,59:22.5,35.531
23:52.0,24:27.6,35.556
58:37.9,59:13.1,35.208
23:55.2,24:30.4,35.234
58:28.9,59:03.8,34.895
23:58.2,24:33.1,34.921
58:19.9,58:54.5,34.59
24:01.1,24:35.8,34.617
58:11.1,58:45.4,34.293
24:04.0,24:38.3,34.323
58:02.3,58:36.3,34.001
24:06.8,24:40.8,34.034
57:53.6,58:27.4,33.719
24:09.5,24:43.2,33.752
57:45.0,58:18.4,33.446
24:12.1,24:45.6,33.475
57:36.4,58:09.6,33.177
24:14.6,24:47.8,33.208
57:27.8,58:00.7,32.913
24:17.0,24:50.0,32.943
57:19.2,57:51.9,32.656
24:19.3,24:52.0,32.686
57:10.7,57:43.1,32.406
24:21.6,24:54.0,32.434
57:02.1,57:34.3,32.156
24:23.7,24:55.9,32.186
56:53.6,57:25.5,31.913
24:25.7,24:57.7,31.944
56:45.0,57:16.7,31.675
24:27.6,24:59.4,31.706
56:36.4,57:07.9,31.441
24:29.5,25:01.0,31.472
56:27.8,56:59.1,31.212
24:31.2,25:02.5,31.242
56:19.3,56:50.3,30.988
24:32.9,25:03.9,31.016
56:10.7,56:41.5,30.764
24:34.5,25:05.3,30.793
56:02.1,56:32.7,30.548
24:36.0,25:06.5,30.574
55:53.5,56:23.9,30.331
24:37.4,25:07.8,30.359
55:45.0,56:15.1,30.122
24:38.8,25:08.9,30.146
55:36.4,56:06.3,29.912
24:40.1,25:10.0,29.938
55:27.9,55:57.6,29.708
24:41.3,25:11.0,29.732
55:19.4,55:48.9,29.507
24:42.5,25:12.0,29.53
55:10.9,55:40.2,29.31
24:43.6,25:12.9,29.33
55:02.4,55:31.5,29.116
24:44.6,25:13.8,29.136
54:53.9,55:22.9,28.926
24:45.6,25:14.6,28.943
54:45.5,55:14.2,28.738
24:46.6,25:15.3,28.757
54:37.1,55:05.7,28.554
24:47.5,25:16.0,28.569
54:28.7,54:57.1,28.376
24:48.3,25:16.7,28.383
54:20.4,54:48.6,28.196
24:49.1,25:17.3,28.207
54:12.1,54:40.2,28.022
24:49.9,25:17.9,28.029
54:03.9,54:31.8,27.85
24:50.7,25:18.5,27.858
53:55.7,54:23.4,27.681
24:51.4,25:19.1,27.687
53:47.6,54:15.1,27.515
24:52.1,25:19.6,27.52
53:39.5,54:06.9,27.35
24:52.8,25:20.2,27.355
53:31.5,53:58.7,27.192
24:53.5,25:20.7,27.192
53:23.5,53:50.6,27.034
24:54.1,25:21.2,27.033
53:15.6,53:42.5,26.879
24:54.7,25:21.6,26.875
53:07.7,53:34.4,26.726
24:55.3,25:22.0,26.723
52:59.8,53:26.4,26.579
24:55.9,25:22.4,26.57
52:52.0,53:18.4,26.429
24:56.3,25:22.8,26.419
52:44.2,53:10.5,26.284
24:56.8,25:23.0,26.272
52:36.4,53:02.5,26.141
24:57.1,25:23.2,26.128
52:28.6,52:54.6,26.001
24:57.4,25:23.4,25.986
52:20.8,52:46.7,25.864
24:57.6,25:23.4,25.846
52:13.0,52:38.8,25.729
24:57.6,25:23.3,25.71
52:05.2,52:30.8,25.597
24:57.6,25:23.2,25.576
51:57.4,52:22.9,25.467
24:57.5,25:22.9,25.445
51:49.6,52:14.9,25.34
24:57.3,25:22.6,25.316
51:41.7,52:07.0,25.215
24:56.9,25:22.1,25.19
51:33.9,51:59.0,25.093
24:56.4,25:21.5,25.067
51:26.0,51:50.9,24.974
24:55.8,25:20.8,24.946
51:18.0,51:42.9,24.856
24:55.1,25:20.0,24.829
51:10.1,51:34.8,24.739
24:54.3,25:19.0,24.713
51:02.1,51:26.8,24.629
24:53.4,25:18.0,24.6
50:54.2,51:18.7,24.519
24:52.4,25:16.9,24.49
50:46.2,51:10.6,24.413
24:51.3,25:15.7,24.382
50:38.2,51:02.5,24.302
24:50.2,25:14.5,24.278
50:30.2,50:54.4,24.2
24:49.0,25:13.1,24.172
50:22.2,50:46.3,24.097
24:47.7,25:11.8,24.07
50:14.3,50:38.3,23.996
24:46.4,25:10.3,23.97
50:06.4,50:30.3,23.897
24:45.0,25:08.9,23.872
49:58.5,50:22.3,23.799
24:43.7,25:07.5,23.775
49:50.7,50:14.4,23.7
24:42.4,25:06.0,23.68
49:43.0,50:06.6,23.608
24:41.0,25:04.6,23.587
49:35.3,49:58.8,23.515
24:39.7,25:03.2,23.495
49:27.8,49:51.2,23.423
24:38.5,25:01.9,23.402
49:20.3,49:43.6,23.332
24:37.2,25:00.6,23.315
49:12.9,49:36.1,23.243
24:36.1,24:59.3,23.227
49:05.6,49:28.8,23.155
24:35.0,24:58.1,23.14
48:58.5,49:21.5,23.069
24:34.0,24:57.0,23.051
48:51.4,49:14.4,22.983
24:33.0,24:56.0,22.97
48:44.5,49:07.3,22.899
